Id,Referencia,Código Barra,Nombre,SKU,Descripción,Item Tipo,Es Combo,Precio 1,Precio 2,Precio 3,Precio 4,Precio 5,Margen 1,Margen 2,Margen 3,Margen 4,Margen 5,No Comisionable,Marca Id,Marca Nombre,Categoria Id,Categoria Nombre,SubCategoria Id,SubCategoria Nombre,Familia Id,Familia Nombre,RazonTransaccion Id,RazonTransaccion Nombre,Item Unidad Id,Item Unidad Descripcion,Costo Promedio Ponderado,Punto Reorden,Costo Ultimo De Compra,Cuenta Compra,Cuenta Venta,Cuenta Costo,Suplidor,Estatus,Tipo Ingreso,Código Arancelario,Impuestos de Importación,Días de Garantía,Tiempo de Entrega,Crear Usuario,Fecha Creación,Actualizar Usuario,Fecha Actualización,Atributo 1,Atributo 2,Atributo 3,Atributo 4,Atributo 5,Atributo 6,Atributo 7,Atributo 8,Atributo 9,Atributo 10,Imagen
41,ELECTRODO D/IGNICION 1/2 ¨,,11031A,E5-3M5-1/2,Electrodo de ignicion 1/2 ¨ modelo E5-3M5-1/2,Producto con Inventario con Descuento y Despacho,No,43.99,,,,,45,,,,,No,15,ALLIED,6,11 - Electrodos,,,,,,,1,Unidad,,,25.14,100302,,,ALLIED BOILER & SUPPLY INC,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
42,"AMPLIFIC. UV 2-4 SEG,P/R4140",,1012R7247C1001,R7247C1001,Amplificador uv HONEYWELL modelo R7247C1001 para Control R4140,Producto con Inventario con Descuento y Despacho,No,1011.1712,,,,,45,,,,,No,2,HONEYWELL,2,10 - Amplificadores,,,,,,,1,Unidad,,,662.63,100302,,,HONEYWELL INTERNATIONAL ECC,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
43,VENTILADOR 55 M3/H 220VAC,,11511H,3238100,Ventilador 55 m3/h 220vac RITTAL modelo 3238100,Producto con Inventario con Descuento y Despacho,No,265,,,,,45,,,,,No,9,RITTAL,5,11 - Accesorio para calderas,,,,,,,1,Unidad,,,151.1,100302,,,RITTAL SA DE CV,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
44,FILTRO DE SALIDA PARA SK3238,,11503E / FILTRO DE SALIDA PARA SK3238,3238200,Filtro de salida para sk3238 RITTAL modelo 3238200,Producto con Inventario con Descuento y Despacho,No,56.36,0,0,0,0,45,,,,,No,9,RITTAL,8,11 - Filtros,,,,,,,1,Unidad,4723.5057,,24.11,100302,,,RITTAL SA DE CV,Activo,01 - Ingresos por Operaciones (No Financieros),,0,0,60,lfeliz,4/11/2025,Julissa,18/3/2026,,,,,,,,,,,
45,Descontinuado sin reemplazo,,12005 V3L-2-D8,V3L-2-D8,Descontinuado sin reemplazo modelo V3L-2-D8,Producto con Inventario con Descuento y Despacho,No,3.959,,,,,45,,,,,No,20,HW SENS,12,"12 - Sensores, cables y switches",,,,,,,1,Unidad,,,2.42,100302,,,Honeywell Sensing & Control,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
46,VENTILADOR C/FILTRO,,11503CA,3240100,Ventilador con filtro RITTAL modelo 3240100,Producto con Inventario con Descuento y Despacho,No,225,,,,,45,,,,,No,9,RITTAL,8,11 - Filtros,,,,,,,1,Unidad,,,117.06,100302,,,RITTAL SA DE CV,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
47,FILTRO DE SALIDA PARA SK3240,,11503C,3240200,Filtro de salida para sk3240 RITTAL modelo 3240200,Producto con Inventario con Descuento y Despacho,No,88.11,,,,,45,,,,,No,9,RITTAL,8,11 - Filtros,,,,,,,1,Unidad,,,50.35,100302,,,RITTAL SA DE CV,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
48,VENTILADOR C/FILTRO,,11503G,3238124,Ventilador con filtro RITTAL modelo 3238124,Producto con Inventario con Descuento y Despacho,No,317.93,,,,,45,,,,,No,9,RITTAL,8,11 - Filtros,,,,,,,1,Unidad,,,192.69,100302,,,RITTAL SA DE CV,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
49,"SK BLUE E+C0OLING UNIT,ROOF MO",,11512B,3384540,"Sk blue e+c0oling unit,roof mo RITTAL modelo 3384540",Producto con Inventario con Descuento y Despacho,No,3982.98,,,,,45,,,,,No,9,RITTAL,5,11 - Accesorio para calderas,,,,,,,1,Unidad,179692.6191,,179692.6191,100302,,,RITTAL SA DE CV,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
50,SENSOR UV AQUAFINE S/CABLE,,12713,42601,Sensor uv aquafine s/cable modelo 42601,Producto con Inventario con Descuento y Despacho,No,1685.14,,,,,45,,,,,No,26,SERV A PUR,13,12 - Cables,,,,,,,1,Unidad,,,1021.3,100302,,,Serv A Pure Company,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
51,VENT 116.5 x 116.5 mm 24V (DC),,11511M,3237124,Vent 116.5 x 116.5 mm 24 v (dc) RITTAL modelo 3237124,Producto con Inventario con Descuento y Despacho,No,136.62,,,,,45,,,,,No,9,RITTAL,5,11 - Accesorio para calderas,,,,,,,1,Unidad,,,78.07,100302,,,RITTAL SA DE CV,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
52,VENTILAD D/TECHO 873 M3/H 230V,,11503BA,3140100,Ventilad de techo 873 m3/h 230 v RITTAL modelo 3140100,Producto con Inventario con Descuento y Despacho,No,1038.26,,,,,45,,,,,No,9,RITTAL,5,11 - Accesorio para calderas,,,,,,,1,Unidad,,,629.25,100302,,,RITTAL SA DE CV,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
53,SENSOR DE INCLINACION P+F,,12426,INY360D-F99-2I 2E-V17,"Sensor de proximidad Pepperl+Fuchs modelo INY360D-F99-2I, uso industrial",Producto con Inventario con Descuento y Despacho,No,370.44,,,,,45,,,,,No,24,PEPPERL,10,12 - Sensores,,,,,,,1,Unidad,,,207.68,100302,,,PEPPERL + FUCHS INC,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
54,MICROSWITCH HONEWELL,,12002A,V15S05-CZ200A,Microswitch honewell modelo V15S05-CZ200A,Producto con Inventario con Descuento y Despacho,No,117.9,,,,,45,,,,,No,10,PAYPAL,11,12 - Switches,,,,,,,1,Unidad,,,75.033,100302,,,PAYPAL,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
55,SECCIONADOR BAJO CARGA P/FUSIB,,11600B,9343150,Seccionador bajo Carga parafusib RITTAL modelo 9343150,Producto con Inventario con Descuento y Despacho,No,546,,,,,45,,,,,No,9,RITTAL,5,11 - Accesorio para calderas,,,,,,,1,Unidad,,,311.78,100302,,,RITTAL SA DE CV,Activo,01 - Ingresos por Operaciones (No Financieros),,,,60,lfeliz,4/11/2025,,,,,,,,,,,,,
